j,1,500,2025-06-11 01:35
j,2,500,2025-06-11 01:36
k,1,250,2025-06-11 01:40
j,1,-350,2025-06-11 01:50
J,1,-200,2025-06-11 01:54
j,1,-300,2025-06-11 13:19
G,1,-200,2025-06-11 13:32
g,1,-250,2025-06-11 14:02
fer,1,500,2025-06-11 16:14
fer,2,-250,2025-06-11 16:16
fer,2,450,2025-06-11 16:17
fer,3,-300,2025-06-11 16:18
fer,3,-150,2025-06-11 16:20
juan,1,400,2025-11-11 18:56
f,1,200,2025-12-02 21:16
g,1,450,2025-12-03 18:32
